text,label
"Скинь, пожалуйста, логин для тестового аккаунта",0
"Ваш аккаунт заблокирован, срочно подтвердите данные по ссылке",1
"Я поправил верстку, проверь у себя в браузере",0
"Скачайте наше приложение и получите бонус на счёт",1
"Я опоздаю минут на десять, начинайте без меня",0
"Распродажа брендовой одежды по оптовым ценам",1
"Сможешь завтра утром посмотреть серверную?",0
"Уникальный авторский курс, только сегодня по акции",1
"Я добавил тебя в чат по новому проекту",0
"Только сегодня нереальная доходность на крипте, успей вложиться",1
"Отправь, пожалуйста, реквизиты на оплату",0
"Получите компенсацию за покупки, просто укажите карту",1
"Я сегодня работаю удаленно, если что пиши",0
"Вы получили бесплатную путевку в Турцию, подтвердите участие",1
"Запушил фиксы на прод, посмотри мониторинг",0
"Бесплатная диагностика и ремонт техники, приезжаем в день обращения",1
"Не забудь сделать бэкап базы перед апдейтом",0
"Выберите подарок за участие в опросе, осталось 3 приза",1
"Я выкатил новую версию API на стенд",0
"Пройди опрос и получи гарантированный приз",1
"Давай перенесём звонок на завтра",0
"Лучший заработок на дому, без опыта и вложений",1
"Проверь, пожалуйста, права доступа у новой группы",0
"Вам доступен промокод на 10000 рублей, активируйте сейчас",1
"У меня не стартует контейнер, глянешь потом?",0
"Моментальный займ на карту за 2 минуты",1
"Почисти, пожалуйста, старые логи, диск забился",0
"Супер акция от нашего банка, ставка 0% без переплат",1
"Завтра сможешь выйти пораньше на созвон?",0
"Только для вас эксклюзивное предложение инвестиций в золото",1
"Я добавил новые тесты, прогоните на CI",0
"Вы получили доступ к секретной стратегии заработка",1
"Буду из дома, свяжемся в телеге",0
"Выбран именно ваш номер, получите деньги прямо сейчас",1
"Скинул тебе по почте отчёт, глянь когда будет время",0
"Выиграй автомобиль, просто ответь на это сообщение",1
"Можешь пересобрать образ и задеплоить на стенд?",0
"Стань партнёром и зарабатывай по 5000 рублей в день",1
"Я дописал документацию к сервису",0
"Узнай секрет успешных инвесторов, регистрируйся на вебинар",1
"Запланируй, пожалуйста, встречу на 16:00",0
"Ваш депозит может приносить до 5% в день, присоединяйтесь",1
"Сможешь сегодня посмотреть пул реквест?",0
"Получите социальную выплату, если вы гражданин РФ, пройдите по ссылке",1
"Я всё залил на FTP, можешь забирать",0
"Легальный заработок в интернете, без налогов и отчётности",1
"Не забудь отписать заказчику по результатам",0
"Ваш счёт заблокирован службой безопасности, срочно подтвердите личность",1
"Я перезапущу сервис ночью, чтоб никому не мешать",0
"Только сегодня купите биткоин по специальному курсу",1
"Сможешь помочь с настройкой VPN?",0
"Уникальный шанс разбогатеть, инвестируй сейчас",1
"Я проверил резервные копии, всё ок",0
"Дарим до 10000 бонусов за регистрацию в приложении",1
"Скинь, пожалуйста, путь к логу, где падало",0
"Вам одобрена карта с лимитом до 500 000 рублей, без визита в банк",1
"Ставлю билд на ночь, посмотрим утром",0
"Гарантированный доход 3000 рублей в день уже завтра",1
"Завтра к десяти успеешь доехать до офиса?",0
"Купи подписку на кино за полцены, только сегодня",1
"Я заапрувил твой пул реквест",0
"Вам доступен займ под 0% на первый день, жмите",1
"Накатил миграции, проверь, ничего не отвалилось",0
"Приглашаем вас в элитный инвестклуб, вход по рекомендации",1
"В обед зайду в магазин, тебе что взять?",0
"Выберите свой подарок: смартфон, ноутбук или телевизор",1
"Поменял пароль на тестовом стенде, скину в личку",0
"Специально для вас повышенный кэшбек на все покупки",1
"Отправь, пожалуйста, финальную версию отчёта",0
"Зарегистрируйтесь и получите 3000 рублей на счёт прямо сейчас",1
"Я добавил тебя в репозиторий, проверь доступ",0
"Скачайте файл по ссылке и получите компенсацию расходов",1
"Сможешь созвониться через час?",0
"Купи курс по трейдингу и начни зарабатывать с первого дня",1
"Я поставил напоминание в календарь",0
"Приглашаем на бесплатный вебинар по заработку на криптовалюте",1
"Скинь, пожалуйста, лог с ошибкой",0
"Вам начислен бонус, чтобы его получить, перейдите по ссылке",1
"Я поправлю это после митинга",0
"Оплати одну услугу и получи вторую бесплатно",1
"Доедешь до дома — скажи, пожалуйста",0
"Вы получили доступ к закрытой распродаже техники",1
"Отпишись, когда будешь на месте",0
"Выберите способ вывода выигрыша: карта или счёт",1
"Не забудь про отчёт к пятнице",0
"Повысьте кредитный рейтинг всего за 3 дня",1
"Проверишь мои изменения в конфиге?",0
"Участвуйте в розыгрыше и выиграйте до 1 000 000 рублей",1
"Я пересоздал этот контейнер, больше не должен падать",0
"Получите бесплатный доступ к премиум‑аккаунту навсегда",1
"Проверь, пожалуйста, планировщик, задачи не запускаются",0
"Уникальная скидка только для вас, перейдите по ссылке",1
"Давай перенесём релиз на завтра утром",0
"Станьте партнёром и получайте проценты с каждого друга",1
"Я переехал репозиторий на новый сервер",0
"Ваши средства застрахованы, инвестируйте без риска",1
"Сможешь сегодня закрыть задачу по мониторингу?",0
"Подключите новую карту и получите до 5000 баллов",1
"Я уже еду в офис, буду через 20 минут",0
"Выбран именно ваш регион, получите субсидию",1
"Создай, пожалуйста, новый проект в GitLab",0
"Зарабатывайте, просто отвечая на сообщения",1
"Перекинь, пожалуйста, деньги за обед, потом посчитаемся",0
"Ваш аккаунт будет удалён, если вы не пройдёте верификацию",1
"Я обновил зависимости, проверь, что всё собирается",0
"Сделайте репост и получите шанс выиграть приз",1
"Позвони мне, как освободишься",0
"Получите выплату от государства на карту",1
"Я поставил задачу в Jira, глянь описание",0
"Откройте счёт и получите до 15% годовых",1
"Вечером буду онлайн, напиши, если что",0
"Скачайте новое приложение и участвуйте в розыгрыше",1
"Завтра смогу только после обеда",0
"Супердоходный депозит, только паспорта достаточно",1
"Я перенёс тикет в следующую спринт‑итерацию",0
"Заработай на просмотре рекламы, до 5000 рублей в день",1
"Когда будешь у компа, напиши",0
"Ваша посылка задержана, оплатите доставку по ссылке",1
"Репозиторий обновился, сделай git pull",0
"Пополните баланс и получите бонус 200%",1
"Можешь вечером глянуть новый дизайн?",0
"Кэшбек 30% на все покупки в супермаркетах",1
"Я залогировал все запросы, будет проще искать",0
"Скачайте прайс и получите персональную скидку",1
"Перезвони, когда будет удобно",0
"Ваш аккаунт выиграл суперприз, не упустите шанс",1
"Я проверил конфиг nginx, всё ок",0
"Получите до 100000 рублей на карту за 5 минут",1
"Сегодня работаю из кафе, связь может плавать",0
"Суперкредит без справок и поручителей, просто паспорт",1
"Если будут вопросы по таске, напиши",0
"Жми сюда и начни зарабатывать онлайн",1
"Зайду в магазин по дороге, нужно что‑то купить?",0
"Получите премиум‑подписку бесплатно на 7 дней",1
"Я сегодня на созвонах почти весь день",0
"Успей купить акции перспективных компаний по низкой цене",1
"Закинь, пожалуйста, изменения в dev‑ветку",0
"Выиграй путёвку на море, просто участвуй в акции",1
"Я перезалью образ, он битый",0
"Вам доступна индивидуальная инвестиционная программа",1
"Буду на встрече чуть позже, начните без меня",0
"Участвуйте в закрытом розыгрыше для избранных клиентов",1
"Я запустил тесты, жду результатов",0
"Подключи автоплатёж и получи бонус",1
"Зайду на склад проверить оборудование",0
"Заполните анкету и заберите свой подарок",1
"Накатил hotfix, проверь прод",0
"Ваш тариф устарел, перейдите на новый и получите подарок",1
"Я проверил права, теперь должно пускать",0
"Скачайте полный отчёт в формате PDF по ссылке",1
"Созвонимся после обеда?",0
"Секретная методика заработка, доступна только сегодня",1
"Отправлю тебе список задач вечером",0
"Повысьте доход, инвестируя в готовые решения",1
"Я включу логирование запросов на время отладки",0
"Вам начислен кэшбек, активируйте его до конца дня",1
"Я освобожусь через полчаса, напиши, если нужно",0
"Получите промокод на скидку 70%",1
"Я собралю статистику и кину тебе",0
"Оформите подписку сейчас и получите месяц в подарок",1
"Спрошу у заказчика и отпишусь",0
"Совершите одну покупку и участвуйте в розыгрыше",1
"Деплой пока откладываем до завтра",0
"Приведи друга и получи деньги на счёт",1
"Сейчас не у компа, позже посмотрю",0
"Только сегодня доход до 40% годовых",1
"Свет моргнул, проверю потом логи",0
"Заполните простую форму и получите займ",1
"Я бронирую переговорку на 11:00",0
"Вам доступен персональный кредитный лимит",1
"Отправь, пожалуйста, скрин ошибки",0
"Вы стали победителем розыгрыша от нашего партнёра",1
"Перекинул файлы на общий диск",0
"Банан",1
"Купи арбуз", 0
"Нажмите ОК, чтобы получить деньги на карту",1
"Проверь, пожалуйста, очередь сообщений",0
"Расширьте кредитный лимит без визита в офис",1
"Скинь ссылку на репозиторий",0
"Скачайте мобильное приложение банка и получите бонус",1
"Я создал ветку под задачу",0
"Активируйте новую карту и получите до 10% кэшбека",1
"Пришли, пожалуйста, ссылки на требования",0
"Ваша заявка одобрена, осталось подтвердить данные",1
"Я добавил пару метрик в мониторинг",0
"Получите бесплатную консультацию по инвестициям",1
"Сделай, пожалуйста, ревью сегодня",0
"Заберите свой выигрыш, пока он не сгорел",1
"Поменяю cron на ночной запуск",0
"Ваша карта временно заблокирована, перейдите по ссылке",1
"Скинь свою почту, я перешлю файлы",0
"Получите доступ к закрытому чату экспертов",1
"Я сегодня занят до вечера, лучше писать",0
"Вложи 1000 рублей и получи 10000 уже завтра",1
"Перенёс таску в бэклог",0
"Успей зарегистрироваться на марафон по заработку",1
"На демке покажу всё подробнее",0
"Купите курс сейчас и получите бонусные уроки",1
"Скинь номер трека посылки",0
"Оплатите доставку и получите посылку",1
"Я обновил README, стало понятнее",0
"Только для вас дополнительно 5000 бонусов",1
"Проверь, пожалуйста, что алерты приходят",0
"Получите до 30% скидки на следующую покупку",1
"Закину логи на общий ресурс",0
"Пройдите идентификацию, чтобы разблокировать счёт",1
"Следующий митинг предлагаю сделать короче",0
"Ваша учётная запись будет заблокирована через 24 часа",1
"Зайду в телегу, как освобожусь",0
"Только сегодня подарки всем новым клиентам",1
"Скинь ссылку на тестовый стенд",0
"Получите деньги за регистрацию, без вложений",1
"Перезапусти, пожалуйста, сервис, он подвис",0
"Скачайте файл, чтобы просмотреть уведомление",1
"Я дополнил задачу комментариями",0
"Секретная рассылка только для избранных",1
"В пятницу лучше не релизиться, давай в понедельник",0
"Оформите предзаказ и получите скидку",1
"Кинь, пожалуйста, данные для подключения к БД",0
"Ваш аккаунт был авторизован на новом устройстве",1
"Я выделю это в отдельный таск",0
"Вам начислена компенсация, уточните реквизиты",1
"Ну что, поедешь завтра в офис?",0
"Примите участие в акции и получите бонус",1
"Я починил скрипт очистки",0
"Получите мгновенный займ до 70000 рублей",1
"Давай после обеда ещё раз обсудим",0
"Расширенный доступ к сервису бесплатно",1
"Я отправил инвойс заказчику",0
"Каждую неделю выплаты на карту, просто зарегистрируйтесь",1
"Скинь ссылку на дизайн‑макет",0
"Скачайте чек, чтобы получить возврат средств",1
"Я подключил новые дашборды",0
"Откройте новый счёт и получите подарок",1
"Завтра в офисе будешь?",0
"Участвуй в акции и получи шанс выиграть авто",1
"Проверю вечером, сейчас не у ПК",0
"Получите бесплатную страховку при оформлении карты",1
"Я поправлю это в следующем коммите",0
"Подпишитесь на рассылку и узнайте секрет успеха",1
"Напомни мне про эту задачу завтра",0
"Получите гарантированный доход без рисков",1
"Я отправлю тебе обновлённый файл",0
"Перейдите по ссылке, чтобы подтвердить участие",1
"Скидываю тебе контакты подрядчика",0
"Оформите рассрочку без переплат и справок",1
"Отпишись, когда тесты закончатся",0
"Мы подобрали для вас персональное предложение",1
"Созвон перенесён на 17:00",0
"Активируйте персональный промокод в приложении",1
"Я переименовал ветку, чтобы было понятнее",0
"Вы получили доступ к секретной распродаже",1
"Сделай, пожалуйста, export базы",0
"Получите до 50% скидки на услуги",1
"Я вечером гляну и отпишусь",0
"Примените промокод и заберите бонус",1
"Отправь мне, пожалуйста, версию для клиента",0
"Вложитесь в недвижимость с минимальными вложениями",1
"Я отключу на время кеширование",0
"Скачайте инструкцию по заработку",1
"Не забудь выставить счёт до конца дня",0
"Выберите удобный способ получения денег",1
"Я обновил тестовые данные",0
"Закажите обратный звонок и получите консультацию",1
"Поставь, пожалуйста, таску на себя",0
"Получите VIP‑статус и специальные условия",1
"Давай начнём созвон ровно в 10",0
"Вы получили от нас подарок, откройте ссылку",1
"Я ещё раз прогнал тесты, всё зелёное",0
"Подключите подписку и смотрите фильмы бесплатно",1
"Скинь мне id задачи",0
"Выиграйте путёвку, просто ответь ДА",1
"Я сейчас не у ноута, позже отвечу подробнее",0
"Оформите займ онлайн за 2 минуты",1
"Могу позже настроить мониторинг, если нужно",0
"Получите доступ к материалам сразу после оплаты",1
"Отпишусь, как только всё задеплоится",0
"Сэкономьте до 80% на покупках",1
"Я вынесу это в отдельный документ",0
"Повысьте свои шансы на выигрыш, если пригласите друзей",1
"Скинь, пожалуйста, SQL‑дамп",0
"Уникальное вложение с гарантированным доходом",1
"Я обновил таску комментариями",0
"Доступно новое предложение специально для вас",1
"Давай вынесем обсуждение в отдельный чат",0
"Получите выплату уже сегодня, просто заполните анкету",1
"Я перенастрою алерты на другой канал",0
"Начни зарабатывать уже сейчас с телефона",1
"Скину тебе позже access‑токен",0
"Высылаем вам эксклюзивный промокод",1
"Можем созвониться минут на 15 сейчас?",0
"Выберите подарок из каталога, пока не закончились",1
"Я добью документацию до вечера",0
"Попробуйте новый способ заработка без рисков",1
"Проверь баланс на проде, пожалуйста",0
"Получите персональную скидку на следующие услуги",1
"Я обновил issue с новыми деталями",0
"Скачайте файл, чтобы узнать подробности предложения",1
"Завтра буду в дороге, лучше писать в чат",0
"Вложитесь сейчас и получите пассивный доход",1
"Посмотри, пожалуйста, новый PR утром",0
"Нажмите ОК, чтобы подтвердить операцию",1
"Я поправлю это в следующем релизе",0
"Вы получите бонус после первой оплаты",1
"Кинь, пожалуйста, ссылку на ТЗ",0
"Ваш заказ уже готов, оплатите его онлайн",1
"Я накидал черновик, глянешь позже?",0
"Получите подарок за участие в акции",1
"Отправлю отчёт вечером после правок",0
"Уникальная возможность увеличить доход, перейдите по ссылке",1
"Я выделю это в отдельный модуль",0
"Откройте письмо, чтобы узнать детали выигрыша",1
"Скинь, пожалуйста, параметры подключения",0
"Вам начислен подарок, не забудьте его забрать",1
"Я проверю логи и скажу",0
"Нажмите, чтобы получить деньги на карту",1
"Создаю сейчас новую ветку для фикса",0
"Получите дополнительный доход, выполняя простые задания",1
"Я обновлю версию в манифесте",0
"Эксклюзивный доступ только для первых 100 человек",1
"Давай перенесём релиз на послезавтра",0
"Ваш промокод скоро сгорит, успейте активировать",1
"Кинь скрипт, который запускал",0
"Заработок с телефона без вложений и опыта",1
"Я помечу эту задачу как приоритетную",0
"Выиграйте сертификат на крупную сумму",1
"Сделаю ревью после обеда",0
"Получите консультацию по кредиту бесплатно",1
"Я уже пушнул изменения",0
"Вам доступен бесплатный апгрейд тарифа",1
"Накинь, пожалуйста, свои комментарии к документу",0
"Скачайте чек, чтобы подтвердить платёж",1
"Пойду на перекур, скоро вернусь",0
"Выплаты каждый день на карту без комиссии",1
"Я добавлю это в план работ",0
"Акция ограничена, успейте принять участие",1
"Скинь логин тестового пользователя",0
"Вы получили купон на бесплатную доставку",1
"Я изменю конфиг и перезапущу сервис",0
"Нажмите, чтобы активировать бонус",1
"После митинга ещё раз гляну на баг",0
"Вам одобрен займ, подтвердите личность",1
"Я в дороге, отвечу позже",0
"Получите бесплатный доступ на 14 дней",1
"Проверь, пожалуйста, что крон отработал",0
"Начните инвестировать с минимальной суммы",1
"Я удалил старые ветки, чтобы не мешались",0
"Скачайте обновление и получите новые функции",1
"Созвон давай сделаем в 16:30",0
"Экономьте на покупках с нашим приложением",1
"Кинь мне, пожалуйста, конфиг nginx",0
"Доход от 5000 рублей в день, без навыков",1
"Я ещё раз перепроверю расчёты",0
"Ваша заявка на участие одобрена",1
"Отправь, пожалуйста, отчёт в PDF",0
"Пройдите регистрацию и получите стартовый капитал",1
"Я добавил тебя в календарь на встречу",0
"Нажмите кнопку, чтобы завершить оформление бонуса",1
"Скинь ip сервера, который падал",0
"Участвуйте в партнёрской программе и зарабатывайте больше",1
"Я переподключу базу после обеда",0
"Получите денежный приз, участвуя в конкурсе",1
"Пиши, если что‑то нужно будет поменять",0
"Купите подписку и получите подарки",1
"Я закончу это до конца дня",0
"Только сегодня сниженная ставка по кредиту",1
"Скинь, пожалуйста, вывод команды",0
"Заработай в интернете без вложений и обмана",1
"Я уточню детали и вернусь с ответом",0
"Получите дополнительный заработок в свободное время",1
"Создал задачу на оптимизацию",0
"Присоединяйтесь к проекту и начните зарабатывать",1
"Проверю вечером мониторинг ещё раз",0
"Активируйте бонус, пока он не сгорел",1
"Я закину всё на Git и отпишусь",0
"Вложитесь сейчас и получите удвоенный доход",1
"Давай перенесём созвон на завтра утром",0
"Пройдите короткий опрос и выиграйте приз",1
